# x y z c
2 -2 -1 -1
1.8812 -1.998808 -1 -0.98
1.7648 -1.995264 -1 -0.96
1.6508 -1.989416 -1 -0.94
1.5392 -1.981312 -1 -0.92
1.43 -1.971 -1 -0.9
1.3232 -1.958528 -1 -0.88
1.2188 -1.943944 -1 -0.86
1.1168 -1.927296 -1 -0.84
1.0172 -1.908632 -1 -0.82
0.92 -1.888 -1 -0.8
0.8252 -1.865448 -1 -0.78
0.7328 -1.841024 -1 -0.76
0.6428 -1.814776 -1 -0.74
0.5552 -1.786752 -1 -0.72
0.47 -1.757 -1 -0.7
0.3872 -1.725568 -1 -0.68
0.3068 -1.692504 -1 -0.66
0.2288 -1.657856 -1 -0.64
0.1532 -1.621672 -1 -0.62
0.08 -1.584 -1 -0.6
0.0092 -1.544888 -1 -0.58
-0.0592 -1.504384 -1 -0.56
-0.1252 -1.462536 -1 -0.54
-0.1888 -1.419392 -1 -0.52
-0.25 -1.375 -1 -0.5
-0.3088 -1.329408 -1 -0.48
-0.3652 -1.282664 -1 -0.46
-0.4192 -1.234816 -1 -0.44
-0.4708 -1.185912 -1 -0.42
-0.52 -1.136 -1 -0.4
-0.5668 -1.085128 -1 -0.38
-0.6112 -1.033344 -1 -0.36
-0.6532 -0.980696 -1 -0.34
-0.6928 -0.927232 -1 -0.32
-0.73 -0.873 -1 -0.3
-0.7648 -0.818048 -1 -0.28
-0.7972 -0.762424 -1 -0.26
-0.8272 -0.706176 -1 -0.24
-0.8548 -0.649352 -1 -0.22
-0.88 -0.592 -1 -0.2
-0.9028 -0.534168 -1 -0.18
-0.9232 -0.475904 -1 -0.16
-0.9412 -0.417256 -1 -0.14
-0.9568 -0.358272 -1 -0.12
-0.97 -0.299 -1 -0.1
-0.9808 -0.239488 -1 -0.08
-0.9892 -0.179784 -1 -0.06
-0.9952 -0.119936 -1 -0.04
-0.9988 -0.059992 -1 -0.02
-1.0 1.85268467234e-15 -1 6.17561557448e-16
-0.9988 0.059992 -1 0.02
-0.9952 0.119936 -1 0.04
-0.9892 0.179784 -1 0.06
-0.9808 0.239488 -1 0.08
-0.97 0.299 -1 0.1
-0.9568 0.358272 -1 0.12
-0.9412 0.417256 -1 0.14
